Unnamed: 0,lon,lat,hh,cluster,year,prov,dist,gyga_cz,sgrids_clay,sgrids_silt,sgrids_sand,sgrids_type,sgrids_ph,sgrids_hp,aez_zones,aez_descr,aez_class,hh_size,relationship_head,gender,age,education,marital_status,labour_days_farmwork,labour_days_offarmwork,dont_know,no_title,title,fsize_ha1,title_perc,fallow,other_tenure,own_cult,rented_in,rented_out,fsize_ha2,own_cult_perc,fallow_perc,Cashew nut,Coffee,Greengram,Kenaf,Soya beans,cash,cassava,cereal,legume,maize,other_crop,rice,root_tuber,cultland_ha,maize_perc,cassava_perc,rice_perc,totfert_kg,maizeprod_kg,cassava_50kgbag,maize_sales_kg,maize_sales_zwm,hirlab_cost_ZMW,cattle,smallrum,tlu,assets_zwb,cash_zwb,cash_food_perc,any_business_yesno,offarmwork_yesno,mz_purchase_zwb
16012,31.30037,-9.36571,26,7050,2015,Northern,Mbala,7601.0,23.4610035814814,13.443033355503301,63.3735124946464,sandy_clay_loam,5.50773440027166,0.10939068081440899,III,Northern High Rainfall Zone,Relative Food Se,9,Head,Male,48.0,Standard 3; Grade 4,Monogamously married,20 days or more,More to farm work,0.0,1.4675,0.0,1.4675,0.0,0.405,0.0,1.0625,0.0,0.0,1.4675,72.40204429301534,27.597955706984667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,1.0,50.0,0.0,0.0,200.0,1507.5,0.0,1265.0,1540.0,,0.0,0.0,2.4,5620.0,50.0,100.0,Yes,No,0.0
16013,31.300885761156696,-9.342047958634788,9,7050,2019,Northern,Mbala,7601.0,21.9167100958878,13.2488883763735,64.8818492391643,sandy_clay_loam,5.65232023695765,0.0173550795038912,III,Northern High Rainfall Zone,Relative Food Se,11,Head,Male,53.0,Standard 4; Grade 5,Monogamously married,20 days or more,More to farm work,0.0,43.25,0.0,43.25,0.0,0.0,40.25,3.0,0.0,0.0,43.25,6.936416184971098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.25,1.0,0.0,0.0,0.25,2.75,36.36363636363637,0.0,0.0,300.0,1507.5,0.0,747.5,1819.9999225139618,,0.0,5.0,3.6,1810.0,0.0,0.0,Yes,No,0.0
16014,31.3009,-9.342,9,7050,2012,Northern,Mbala,7601.0,21.9167100958878,13.2488883763735,64.8818492391643,sandy_clay_loam,5.65232023695765,0.0173550795038912,III,Northern High Rainfall Zone,Relative Food Se,7,Head,Male,46.0,Standard 6; Grade 7,Monogamously married,,,0.0,6.0,0.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,6.0,66.66666666666667,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875,1.0,0.0,0.0,0.0,2.1875,45.714285714285715,0.0,0.0,300.0,862.5,0.0,575.0,649999.9999999999,,0.0,0.0,0.0,200000.0,0.0,0.0,No,No,0.0
16015,31.300929999999997,-11.82262,204,6039,2012,Muchinga,Mpika,7501.0,20.1208488017906,9.90047140968389,69.8416493914149,sandy_clay_loam,5.68480258010762,0.150499046503601,III,Northern High Rainfall Zone,Relative Food Se,1,Head,Female,73.0,Standard 4; Grade 5,Widowed,,,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,100.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,,0.0,0.0,0.12,200000.0,800000.0,25.0,No,No,152000.0
16016,31.300929999999997,-9.34193,9,7050,2015,Northern,Mbala,7601.0,21.9167100958878,13.2488883763735,64.8818492391643,sandy_clay_loam,5.65232023695765,0.0173550795038912,III,Northern High Rainfall Zone,Relative Food Se,9,Head,Male,49.0,Standard 6; Grade 7,Monogamously married,20 days or more,More to farm work,0.0,2.5,0.0,2.5,0.0,0.0,1.0,1.5,0.0,0.0,2.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.0,0.0,1.5,16.666666666666668,33.333333333333336,0.0,0.0,402.0,9.0,0.0,0.0,,0.0,3.0,2.6,2750.0,0.0,0.0,Yes,No,0.0
16017,31.301840000000002,-9.9378,217,7072,2012,Northern,Mungwi,7501.0,21.420690512565397,9.962511299346339,68.67765447419721,sandy_clay_loam,5.5645882230527,0.517969024186526,III,Northern High Rainfall Zone,Relative Food Se,7,Head,Male,58.0,Form 2; Grade 9,Monogamously married,,,0.0,3.5,0.0,3.5,0.0,0.75,0.75,2.0,0.0,0.0,3.5,57.142857142857146,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,50.0,0.0,0.0,100.0,460.0,0.0,0.0,0.0,,0.0,0.0,0.68,1400000.0,500000.0,0.0,Yes,No,0.0
16018,31.301909999999996,-8.80626,44,7062,2015,Northern,Mpulungu,7501.0,32.147618149059,17.675703359036802,50.0390035199874,sandy_clay_loam,5.62486323669279,0.0923224168304221,III,Northern High Rainfall Zone,Relative Food Se,5,Head,Male,28.0,Form 2; Grade 9,Monogamously married,20 days or more,More to farm work,0.0,0.0,0.6875,0.6875,100.0,0.0,0.125,0.5625,0.0,0.0,0.6875,81.81818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.5,0.0,0.0,0.0,0.5625,88.88888888888889,0.0,0.0,200.0,4020.0,0.0,2512.5,3058.6956521739135,500.0,0.0,0.0,0.24,10810.0,0.0,0.0,No,No,210.0
16019,31.3019604049623,-8.806311157532038,44,7062,2019,Northern,Mpulungu,7501.0,32.147618149059,17.675703359036802,50.0390035199874,sandy_clay_loam,5.62486323669279,0.0923224168304221,III,Northern High Rainfall Zone,Relative Food Se,6,Head,Male,32.0,Form 2; Grade 9,Monogamously married,20 days or more,More to farm work,0.0,1.375,0.25,1.625,15.384615384615385,0.25,0.25,1.125,0.0,0.0,1.625,69.23076923076923,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0,1.125,88.88888888888889,0.0,0.0,400.0,4522.5,0.0,2012.5,2625.0000938773155,1600.0,0.0,0.0,0.0,23700.0,0.0,0.0,Yes,No,160.0
16020,31.3028762117028,-9.36756611801684,29,7050,2019,Northern,Mbala,7601.0,23.367343338792,12.4045035719499,64.1592039673684,sandy_clay_loam,5.525689753966219,0.0442585752727745,III,Northern High Rainfall Zone,Relative Food Se,5,Head,Female,74.0,Standard 4; Grade 5,Widowed,20 days or more,More to farm work,0.0,6.625,0.25,6.875,3.6363636363636362,0.0,0.0,6.875,0.0,0.0,6.875,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.0,0.0,0.0,0.125,5.625,35.55555555555556,0.0,0.0,800.0,4924.5,0.0,2875.0,4499.999955296516,450.0,0.0,0.0,0.12,9380.0,980.0,0.0,No,No,0.0
16021,31.30288,-9.36771,29,7050,2012,Northern,Mbala,7601.0,23.367343338792,12.4045035719499,64.1592039673684,sandy_clay_loam,5.525689753966219,0.0442585752727745,III,Northern High Rainfall Zone,Relative Food Se,2,Head,Male,75.0,Standard 4; Grade 5,Monogamously married,,,0.0,7.25,0.0,7.25,0.0,1.0,1.25,5.0,0.0,0.0,7.25,68.96551724137932,13.793103448275861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,0.0,0.0,0.0,4.5,44.44444444444444,0.0,0.0,1100.0,6900.0,0.0,3450.0,3899999.9999999995,,0.0,0.0,1.2,5250000.0,250000.0,0.0,No,No,0.0
16022,31.30296,-9.36775,29,7050,2015,Northern,Mbala,7601.0,23.367343338792,12.4045035719499,64.1592039673684,sandy_clay_loam,5.525689753966219,0.0442585752727745,III,Northern High Rainfall Zone,Relative Food Se,3,Head,Male,78.0,Standard 3; Grade 4,Monogamously married,20 days or more,More to farm work,0.0,5.75,0.0,5.75,0.0,2.0,0.0,3.75,0.0,0.0,5.75,65.21739130434783,34.78260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.0,0.0,0.0,0.0,3.75,53.333333333333336,0.0,0.0,800.0,5462.5,0.0,4255.0,4810.0,3100.0,0.0,0.0,0.8,7050.0,0.0,0.0,No,No,0.0
